"label","code","disorder","count","start_year"
"2023-2024","dx_perso_2","Avoidant personality disorder",91,2023
"2023-2024","dx_perso_3","Borderline personality disorder",1094,2023
"2023-2024","dx_perso_4","Dependent personality disorder",57,2023
"2023-2024","dx_perso_5","Histrionic personality disorder",17,2023
"2023-2024","dx_perso_6","Narcissistic personality disorder",35,2023
"2023-2024","dx_perso_7","Obsessive-Compulsive personality disorder",117,2023
"2023-2024","dx_perso_8","Paranoid personality disorder",64,2023
"2023-2024","dx_perso_9","Schizoid personality disorder",37,2023
"2023-2024","dx_perso_10","Schizotypal personality disorder",25,2023
"2023-2024","dx_perso_11","Other (please specify)",68,2023
